Locustag	28_1	28_2	29_1	29_2	36_1	36_2	46_1	46_2	47_1	47_2	49_1	49_2
ECB_00453	41	42	46	50	43	39	39	58	73	64	75	54
ECB_00454	7	12	11	6	2	10	4	3	1	2	4	6
ECB_00455	16	16	15	13	8	15	14	3	14	10	9	19
ECB_00456	967	879	981	1157	690	420	1088	801	1126	691	926	1157
ECB_00457	29	43	52	56	25	42	34	34	30	27	26	71
ECB_00458	34	35	20	32	8	34	9	19	19	60	19	17
ECB_00459	13	4	4	0	2	3	2	9	4	5	8	13
ECB_00460	3	6	7	6	2	11	1	5	11	7	2	6
ECB_00461	1	11	2	4	10	4	3	3	6	8	11	16
ECB_00462	21	7	26	23	9	8	9	16	19	9	39	58
ECB_00463	17	23	33	27	21	20	12	21	36	44	38	45
ECB_00464	35	57	48	30	20	39	28	25	41	40	42	56
ECB_00465	37	36	27	25	14	25	50	28	58	32	160	182
