group,timepoint,Time,well,S freq,lambda,total count,YFP,BFP,Dilution,corrected total count,gen,competition,S minmaj,scaled counts,S counts,LSl counts,BFP freq,timegroup,BFP counts,YFP counts
8,6,6.550000000000002,C11,0.003484875,0.214320982,6718,7325.02002,8735.427734,0.002,7463.599609000001,40k,Sl,min,3731799.8045,13004.85584370694,3718794.948656293,0.003484875,4.0,13004.85584370694,3718794.948656293
8,6,6.550000000000002,C12,0.004522791,0.090019297,7402,7297.248047,8677.376953,0.002,7740.159237000002,40k,Sl,min,3870079.6185,17503.561267835234,3852576.057232165,0.004522791,4.0,17503.561267835234,3852576.057232165
3,6,6.533333333333334,A7,0.993868165,1.03e-07,5871,7796.28125,8667.837891,0.002,5871.000304,17k,Sl,maj,2935500.152,2917500.1494254614,18000.00257453901,0.993868165,2.0,2917500.1494254614,18000.00257453901
8,6,6.550000000000002,C10,0.00375972,0.128315803,6242,7335.038573999998,8491.671875,0.002,6651.035787,40k,Sl,min,3325517.8935,12503.016134549816,3313014.87736545,0.00375972,4.0,12503.016134549816,3313014.87736545
2,6,6.5166666666666675,A5,0.010815287,0.308720551,4542,7616.595703,8687.765625,0.002,5279.121419,17k,L,min,2639560.7095,28547.60662716613,2611013.1028728336,0.010815287,1.0,28547.60662716613,2611013.1028728336
6,7,7.5,C5,0.10140103700000004,0.053620547000000005,6345,7792.133789,8704.40332,0.002,6516.631355,40k,L,min,3258315.6775,330396.5885718576,2927919.088928142,0.898598963,3.0,2927919.088928142,330396.5885718576
2,7,7.533333333333334,A6,0.00846633,0.261071955,5932,7692.008301000002,8831.455078,0.002,6739.994258,17k,L,min,3369997.129,28531.50779316657,3341465.621206833,0.00846633,1.0,28531.50779316657,3341465.621206833
7,7,7.450000000000001,C8,0.903362127,0.036943666,4651,7577.038573999998,8431.024414,0.002,4737.441471,40k,Sl,maj,2368720.7355,2139812.6018902846,228908.13360971538,0.903362127,4.0,2139812.6018902846,228908.13360971538
1,7,7.533333333333334,A2,0.977044528,0.05850134,5335,7577.96875,8707.983398,0.002,5492.573782,17k,L,maj,2746286.8910000003,2683244.5791696827,63042.311830317645,0.977044528,1.0,2683244.5791696827,63042.311830317645
3,7,7.55,A7,0.993498236,0.134405264,6911,8002.110352,8765.384766,0.002,7385.838064,17k,Sl,maj,3692919.0319999997,3668908.543982828,24010.48801717253,0.993498236,2.0,3668908.543982828,24010.48801717253
